"Country","Total with vision loss","Blindness","Moderate to severe","Mild","Near","Population"
"India","275.0M","9.2M","79.0M","49.1M","137.7M","1,422M"
"China","274.3M","8.9M","51.9M","57.7M","155.7M","1,426M"
"Indonesia","34.9M","3.7M","10.8M","11.5M","8.9M","265M"
"Russia","28.6M","0.6M","8.0M","3.7M","18.5M","146M"
"Brazil","26.6M","1.8M","10.0M","8.3M","8.6M","217M"
"Bangladesh","26.3M","0.9M","7.5M","4.2M","14.0M","161M"
"Pakistan","26.3M","1.8M","8.5M","6.0M","10.1M","226M"
"Nigeria","24.3M","1.3M","5.3M","7.8M","9.9M","226M"
"USA","16.4M","0.6M","6.7M","4.6M","4.4M","331M"
"Mexico","16.0M","0.5M","4.7M","4.4M","6.4M","132M"
